Method;AmountOfOptions;LengthOfPayload;Mean;Error;StdDev;Median;Gen0;Gen1;Gen2;Allocated
DeserializeAsync;0;0;2.231;0.0353;0.0483;2.214;0.3586;-;-;1KB
DeserializeAsync;0;1024;3.298;0.0602;0.0563;3.286;0.9232;-;-;4KB
DeserializeAsync;0;4096;5.077;0.1011;0.1038;5.109;2.9411;-;-;10KB
DeserializeAsync;0;65536;64.490;1.2016;1.1802;64.108;83.3130;83.3130;83.3130;258KB
DeserializeAsync;0;131072;111.011;2.0769;2.0398;110.221;166.6260;166.6260;166.6260;514KB
DeserializeAsync;1024;0;1440.076;27.5160;30.5839;1,445.906;216.7969;107.4219;-;1,250KB
DeserializeAsync;1024;1024;1402.291;26.1549;23.1857;1,403.606;208.9844;103.5156;-;1,254KB
DeserializeAsync;1024;4096;1416.083;27.4978;28.2382;1,418.433;248.0469;123.0469;-;1,267KB
DeserializeAsync;1024;65536;1592.417;31.4054;75.2453;1,574.960;285.1563;201.1719;76.1719;1,507KB
DeserializeAsync;1024;131072;1817.051;47.0170;135.6547;1,783.732;359.3750;283.2031;146.4844;1,763KB
DeserializeAsync;4096;0;8416.154;168.1480;396.3445;8,340.885;835.9375;367.1875;156.2500;4,995KB
DeserializeAsync;4096;1024;8147.070;101.2302;94.6908;8,154.584;835.9375;367.1875;164.0625;4,999KB
DeserializeAsync;4096;4096;8737.255;164.8246;236.3866;8,709.312;859.3750;359.3750;148.4375;5,011KB
DeserializeAsync;4096;65536;9057.536;166.6596;321.0964;8,977.750;921.8750;453.1250;125.0000;5,251KB
DeserializeAsync;4096;131072;9543.723;190.4048;463.4717;9,467.759;968.7500;500.0000;140.6250;5,507KB
DeserializeAsync;65536;0;203180.664;3,832.5079;6,812.2788;202,695.167;13666.6667;5000.0000;666.6667;79,877KB
DeserializeAsync;65536;1024;198211.164;3,846.5813;4,864.6937;197,809.500;13333.3333;5000.0000;666.6667;79,881KB
DeserializeAsync;65536;4096;201316.657;3,771.5768;6,301.4575;200,897.850;13333.3333;4666.6667;666.6667;79,893KB
DeserializeAsync;65536;65536;200257.897;3,846.1005;4,723.3569;200,426.333;13666.6667;5333.3333;666.6667;80,134KB
DeserializeAsync;65536;131072;201631.362;3,958.6431;6,392.4708;201,162.367;13333.3333;5000.0000;666.6667;80,390KB
DeserializeAsync;131072;0;372129.381;7,421.6676;19,289.9009;373,452.900;25000.0000;8000.0000;-;159,752KB
DeserializeAsync;131072;1024;372065.709;7,358.5294;16,152.1504;374,064.100;25000.0000;8000.0000;-;159,756KB
DeserializeAsync;131072;4096;368936.160;7,344.8485;16,727.9368;369,767.550;25000.0000;8000.0000;-;159,768KB
DeserializeAsync;131072;65536;366150.575;7,271.6429;17,837.4640;360,195.900;27000.0000;9000.0000;1000.0000;160,008KB
DeserializeAsync;131072;131072;370709.611;7,004.9653;17,574.0884;370,470.050;25000.0000;8000.0000;-;160,264KB
